"","location_type","offence","occurrencehour","occurrenceday","occurrencedayofweek","Neighbourhood"
"1","Ttc Subway Tunnel / Outdoor Tracks","Robbery - Mugging",14,3,"Friday","East End-Danforth"
"2","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",20,3,"Friday","Willowdale East"
"3","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",20,3,"Friday","Willowdale East"
"4","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",20,3,"Friday","Willowdale East"
"5","Single Home, House (Attach Garage, Cottage, Mobile)","Robbery - Home Invasion",2,1,"Wednesday","Greenwood-Coxwell"
"6","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",21,3,"Friday","Beechborough-Greenbrook"
"7","Ttc Bus Stop / Shelter / Loop","Robbery - Other",15,3,"Friday","Malvern"
"8","Convenience Stores","Robbery - Business",20,3,"Friday","Keelesdale-Eglinton West"
"9","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Mugging",19,4,"Saturday","Clairlea-Birchmount"
"10","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery With Weapon",17,4,"Saturday","Bendale"
"11","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery With Weapon",17,4,"Saturday","Bendale"
"12","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery With Weapon",17,4,"Saturday","Bendale"
"13","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",18,4,"Saturday","West Humber-Clairville"
"14","Parking Lots (Apt., Commercial Or Non-Commercial)","Robbery With Weapon",18,4,"Saturday","Glenfield-Jane Heights"
"15","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Vehicle Jacking",20,4,"Saturday","Moss Park"
"16","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Mugging",23,4,"Saturday","Dovercourt-Wallace Emerson-Junction"
"17","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Vehicle Jacking",0,5,"Sunday","Oakwood Village"
"18","Ttc Subway Tunnel / Outdoor Tracks","Robbery - Mugging",15,5,"Sunday","Church-Yonge Corridor"
"19","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",15,5,"Sunday","Annex"
"20","Ttc Subway Train","Robbery - Mugging",15,5,"Sunday","Clairlea-Birchmount"
"21","Ttc Subway Train","Robbery - Other",15,5,"Sunday","Clairlea-Birchmount"
"22","Apartment (Rooming House, Condo)","Robbery - Other",18,5,"Sunday","Westminster-Branson"
"23","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery With Weapon",10,6,"Monday","Eglinton East"
"24","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Delivery Person",10,6,"Monday","Eglinton East"
"25","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Delivery Person",10,6,"Monday","Eglinton East"
"26","Gas Station (Self, Full, Attached Convenience)","Robbery - Swarming",11,6,"Monday","Bendale"
"27","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Mugging",18,6,"Monday","Downsview-Roding-CFB"
"28","Parking Lots (Apt., Commercial Or Non-Commercial)","Robbery - Vehicle Jacking",0,7,"Tuesday","Willowdale East"
"29","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Mugging",14,7,"Tuesday","South Parkdale"
"30","Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)","Robbery - Mugging",16,7,"Tuesday","Scarborough Village"
"31","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery With Weapon",19,7,"Tuesday","Beechborough-Greenbrook"
"32","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery With Weapon",19,7,"Tuesday","Beechborough-Greenbrook"
"33","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery With Weapon",19,7,"Tuesday","Beechborough-Greenbrook"
"34","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery With Weapon",19,7,"Tuesday","Beechborough-Greenbrook"
"35","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",19,7,"Tuesday","Beechborough-Greenbrook"
"36","Apartment (Rooming House, Condo)","Robbery - Mugging",20,7,"Tuesday","Willowdale East"
"37","Single Home, House (Attach Garage, Cottage, Mobile)","Robbery - Vehicle Jacking",0,8,"Wednesday","Markland Wood"
"38","Single Home, House (Attach Garage, Cottage, Mobile)","Robbery With Weapon",0,8,"Wednesday","Markland Wood"
"39","Apartment (Rooming House, Condo)","Robbery - Mugging",1,8,"Wednesday","Willowdale East"
"40","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Mugging",12,8,"Wednesday","Weston"
"41","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Mugging",12,8,"Wednesday","Weston"
"42","Convenience Stores","Robbery - Business",20,7,"Tuesday","Bedford Park-Nortown"
"43","Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg","Robbery - Business",19,8,"Wednesday","Milliken"
"44","Streets, Roads, Highways (Bicycle Path, Private Road)","Robbery - Purse Snatch",22,8,"Wednesday","Agincourt North"
